"","Month","Day","Year","Date","ObservationSite","Precipitation","pH","Ecoli"
"95",6,10,2016,2016-06-10,"North",NA,7.9,1000
"96",6,16,2016,2016-06-16,"North",NA,8.2,900
"97",7,9,2016,2016-07-09,"North",NA,8.3,NA
"98",7,21,2016,2016-07-21,"North",NA,NA,NA
"99",7,21,2016,2016-07-21,"North",NA,8.2,500
"100",8,5,2016,2016-08-05,"North",NA,8.4,400
"101",8,26,2016,2016-08-26,"North",NA,8.1,600
"102",9,2,2016,2016-09-02,"North",NA,8.2,NA
"103",9,6,2016,2016-09-06,"North",NA,8,400
"104",9,10,2016,2016-09-10,"North",NA,7.8,NA
"105",9,14,2016,2016-09-14,"North","trace",7.09,NA
"106",9,20,2016,2016-09-20,"North",NA,7.2,NA
"107",9,20,2016,2016-09-20,"North",NA,7.2,1200
"108",9,29,2016,2016-09-29,"North",NA,7.1,600
"109",10,1,2016,2016-10-01,"North","-",7.8,NA
"110",10,11,2016,2016-10-11,"North",NA,7.8,NA
"111",10,12,2016,2016-10-12,"North",NA,7.5,NA
"112",10,13,2016,2016-10-13,"North",NA,8,NA
"113",11,1,2016,2016-11-01,"North",NA,7.59,NA
"114",11,3,2016,2016-11-03,"North","0",NA,450
"115",11,10,2016,2016-11-10,"North",NA,7.9,NA
"116",11,15,2016,2016-11-15,"North",NA,8.1,NA
"117",12,2,2016,2016-12-02,"North",NA,8,NA
"118",12,6,2016,2016-12-06,"North",NA,8.2,NA
"119",1,26,2017,2017-01-26,"North",NA,8.1,NA
"120",1,27,2017,2017-01-27,"North","0",8,NA
"121",2,15,2017,2017-02-15,"North",NA,8.5,NA
"122",2,16,2017,2017-02-16,"North","0",8.6,NA
"123",3,28,2017,2017-03-28,"North",NA,8.5,NA
"124",3,31,2017,2017-03-31,"North",NA,8,NA
"125",4,4,2017,2017-04-04,"North",NA,8,NA
"126",5,3,2017,2017-05-03,"North",NA,7.2,NA
"127",5,3,2017,2017-05-03,"North",NA,7.66,NA
"128",5,9,2017,2017-05-09,"North",NA,NA,NA
"129",5,10,2017,2017-05-10,"North","0.16",NA,NA
"130",5,10,2017,2017-05-10,"North","0.16",6.8,NA
"131",5,10,2017,2017-05-10,"North",NA,6.8,NA
"132",5,11,2017,2017-05-11,"North",NA,7.4,NA
"133",5,23,2017,2017-05-23,"North",NA,7.8,NA
"134",9,19,2017,2017-09-19,"North","0",7.8,NA
"135",9,21,2017,2017-09-21,"North",NA,7.9,NA
"136",10,16,2017,2017-10-16,"North",NA,7.9,NA
"137",10,31,2017,2017-10-31,"North","Light Snow",8.3,NA
"138",11,2,2017,2017-11-02,"North",NA,8.1,NA
"139",11,8,2017,2017-11-08,"North",NA,8.1,NA
"140",12,5,2017,2017-12-05,"North",NA,8.4,NA
"141",12,6,2017,2017-12-06,"North",NA,NA,NA
"142",12,9,2014,2014-12-09,"West",NA,8.65,NA
"143",12,11,2014,2014-12-11,"West",NA,8.5,NA
"144",1,29,2013,2013-01-29,"West",NA,8.5,NA
"145",2,19,2013,2013-02-19,"West","0",NA,NA
"146",2,26,2013,2013-02-26,"West",NA,7.9,NA
"147",3,26,2013,2013-03-26,"West","1E-3",9.1,NA
"148",3,29,2013,2013-03-29,"West",NA,8.9,NA
"149",5,14,2013,2013-05-14,"West","0",8.8,NA
"150",8,2,2013,2013-08-02,"West",NA,7.1,8550
"151",8,10,2013,2013-08-10,"West",NA,7.9,950
"152",8,16,2013,2013-08-16,"West",NA,8.1,1550
"153",8,23,2013,2013-08-23,"West",NA,8,700
"154",9,3,2013,2013-09-03,"West",NA,8.3,NA
"155",9,5,2013,2013-09-05,"West",NA,8.4,NA
"156",9,27,2013,2013-09-27,"West",NA,8.3,1050
"157",10,17,2013,2013-10-17,"West",NA,8.7,1700
"158",10,25,2013,2013-10-25,"West",NA,8.1,350
"159",11,2,2013,2013-11-02,"West",NA,8.3,1550
"160",11,12,2013,2013-11-12,"West","0",NA,NA
"161",11,13,2013,2013-11-13,"West",NA,8.8,NA
"162",11,16,2013,2013-11-16,"West",NA,8.5,1450
"163",11,17,2013,2013-11-17,"West",NA,8.3,2600
"164",12,3,2013,2013-12-03,"West",NA,NA,NA
"165",12,12,2013,2013-12-12,"West",NA,7.9,NA
"166",1,4,2014,2014-01-04,"West","0",9.3,NA
"167",1,16,2014,2014-01-16,"West",NA,8.7,NA
"168",2,25,2014,2014-02-25,"West",NA,6.9,NA
"169",4,1,2014,2014-04-01,"West","0",8.6,NA
"170",4,2,2014,2014-04-02,"West",NA,8.1,NA
"171",4,3,2014,2014-04-03,"West",NA,8.2,NA
"172",5,6,2014,2014-05-06,"West",NA,8.4,NA
"173",5,7,2014,2014-05-07,"West","0",8.6,NA
"174",6,20,2014,2014-06-20,"West",NA,7.6,900
"175",7,2,2014,2014-07-02,"West",NA,8.2,NA
"176",7,9,2014,2014-07-09,"West",NA,8,800
"177",7,27,2014,2014-07-27,"West",NA,8.4,600
"178",8,7,2014,2014-08-07,"West",NA,7.6,9200
"179",8,21,2014,2014-08-21,"West",NA,5.5,NA
"180",8,22,2014,2014-08-22,"West",NA,7.9,500
"181",9,5,2014,2014-09-05,"West",NA,7.8,7400
"182",9,12,2014,2014-09-12,"West",NA,8.1,600
"183",9,19,2014,2014-09-19,"West",NA,7.7,200
"184",9,19,2014,2014-09-19,"West",NA,7.6,900
"185",9,25,2014,2014-09-25,"West",NA,8.2,NA
"186",10,5,2014,2014-10-05,"West",NA,8.6,1500
"187",10,12,2014,2014-10-12,"West",NA,8.7,1800
"188",10,19,2014,2014-10-19,"West",NA,8.3,200
"189",10,26,2014,2014-10-26,"West",NA,8.4,500
"190",11,2,2014,2014-11-02,"West",NA,8.1,500
"191",11,14,2014,2014-11-14,"West",NA,8.6,NA
"192",1,14,2015,2015-01-14,"West","0",8.65,NA
"193",1,15,2015,2015-01-15,"West","0",8.43,NA
"194",2,24,2015,2015-02-24,"West",NA,8.9,NA
"195",3,26,2015,2015-03-26,"West",NA,8.85,NA
"196",3,26,2015,2015-03-26,"West",NA,8.8,NA
"197",4,21,2015,2015-04-21,"West","0",8.1,NA
"198",4,28,2015,2015-04-28,"West",NA,NA,NA
"199",4,30,2015,2015-04-30,"West","0",8.55,NA
"200",5,30,2015,2015-05-30,"West",NA,8.1,1000
"201",7,12,2015,2015-07-12,"West",NA,8,500
"202",9,9,2015,2015-09-09,"West","0",8,NA
"203",9,29,2015,2015-09-29,"West","trace",8,NA
"204",10,1,2015,2015-10-01,"West","0",7.9,NA
"205",10,1,2015,2015-10-01,"West","-",8.15,NA
"206",10,5,2015,2015-10-05,"West","0",8.1,NA
"207",11,3,2015,2015-11-03,"West","0",NA,NA
"208",11,5,2015,2015-11-05,"West","0",8,NA
"209",12,11,2015,2015-12-11,"West","-",7,NA
"210",2,16,2016,2016-02-16,"West","trace",8.6,NA
"211",2,18,2016,2016-02-18,"West","-",NA,NA
"212",3,1,2016,2016-03-01,"West",NA,8.2,NA
"213",3,3,2016,2016-03-03,"West","-",8.4,NA
"214",3,29,2016,2016-03-29,"West","-",8.5,NA
"215",3,29,2016,2016-03-29,"West",NA,NA,150
"216",3,31,2016,2016-03-31,"West","10",8.3,NA
"217",4,14,2016,2016-04-14,"West","0",8.4,NA
"218",4,14,2016,2016-04-14,"West",NA,8.4,100
"219",4,21,2016,2016-04-21,"West",NA,8,11400
"220",4,26,2016,2016-04-26,"West",NA,8.2,0
"221",5,3,2016,2016-05-03,"West","0",NA,NA
"222",5,3,2016,2016-05-03,"West",NA,8.1,200
"223",5,5,2016,2016-05-05,"West","0",8.1,NA
"224",5,10,2016,2016-05-10,"West",NA,8,NA
"225",6,10,2016,2016-06-10,"West",NA,8.1,700
"226",6,16,2016,2016-06-16,"West",NA,8.4,400
"227",7,9,2016,2016-07-09,"West",NA,8.5,NA
"228",7,21,2016,2016-07-21,"West",NA,7.9,700
"229",8,5,2016,2016-08-05,"West",NA,8.2,1000
"230",8,26,2016,2016-08-26,"West",NA,8.2,700
"231",9,6,2016,2016-09-06,"West",NA,7.8,400
"232",9,14,2016,2016-09-14,"West","trace",6.9,NA
"233",9,15,2016,2016-09-15,"West",NA,NA,3600
"234",9,20,2016,2016-09-20,"West","0",8.3,NA
"235",9,20,2016,2016-09-20,"West",NA,8.4,600
"236",9,29,2016,2016-09-29,"West",NA,7.1,300
"237",10,12,2016,2016-10-12,"West",NA,7.85,NA
"238",10,13,2016,2016-10-13,"West",NA,8,NA
"239",11,1,2016,2016-11-01,"West",NA,8,NA
"240",11,3,2016,2016-11-03,"West",NA,8.4,300
"241",11,10,2016,2016-11-10,"West",NA,8,NA
"242",11,11,2016,2016-11-11,"West","0",8.1,NA
"243",12,2,2016,2016-12-02,"West",NA,8.3,NA
"244",12,6,2016,2016-12-06,"West",NA,8.27,NA
"245",1,26,2017,2017-01-26,"West",NA,8.2,NA
"246",1,27,2017,2017-01-27,"West","0",7.95,NA
"247",2,15,2017,2017-02-15,"West","0",8.7,NA
"248",2,16,2017,2017-02-16,"West","0",8.9,NA
"249",3,28,2017,2017-03-28,"West","0",9,NA
"250",3,31,2017,2017-03-31,"West",NA,7.5,NA
"251",4,4,2017,2017-04-04,"West",NA,8.5,NA
"252",5,9,2017,2017-05-09,"West",NA,6.05,NA
"253",5,10,2017,2017-05-10,"West",NA,NA,NA
"254",5,11,2017,2017-05-11,"West",NA,8,NA
"255",9,19,2017,2017-09-19,"West",NA,7.7,NA
"256",9,21,2017,2017-09-21,"West",NA,7,NA
"257",10,13,2017,2017-10-13,"West",NA,8,NA
"258",10,13,2017,2017-10-13,"West","0",7.4,NA
"259",10,16,2017,2017-10-16,"West","0",7.55,NA
"260",10,31,2017,2017-10-31,"West",NA,8.05,NA
"261",11,2,2017,2017-11-02,"West",NA,7.4,NA
"262",11,8,2017,2017-11-08,"West","0",7.8,NA
"263",12,5,2017,2017-12-05,"West",NA,8.25,NA
"264",12,6,2017,2017-12-06,"West",NA,6.4,NA
